MOVIE_ID,YEAR,MONTH,DAY,SEASON,WEEKDAY,TIME
299,2007,2,27,winter,Tuesday,2007-02-27
300,2008,6,10,summer,Tuesday,2008-06-10
301,2006,2,7,winter,Tuesday,2006-02-07
302,2008,11,16,autumn,Sunday,2008-11-16
303,2010,3,1,spring,Monday,2010-03-01
304,2006,3,4,spring,Saturday,2006-03-04
305,2006,6,13,summer,Tuesday,2006-06-13
306,2006,3,4,spring,Saturday,2006-03-04
307,2007,9,4,autumn,Tuesday,2007-09-04
308,2008,12,2,winter,Tuesday,2008-12-02
309,2006,9,29,autumn,Friday,2006-09-29
310,2010,11,12,autumn,Friday,2010-11-12
311,2010,2,21,winter,Sunday,2010-02-21
312,2011,2,10,winter,Thursday,2011-02-10
313,2012,1,30,winter,Monday,2012-01-30
314,2009,3,23,spring,Monday,2009-03-23
315,1999,4,3,spring,Saturday,1999-04-03
316,2009,4,21,spring,Tuesday,2009-04-21
317,2012,1,7,winter,Saturday,2012-01-07
318,2010,1,26,winter,Tuesday,2010-01-26
319,2011,8,2,summer,Tuesday,2011-08-02
320,1998,7,21,summer,Tuesday,1998-07-21
321,2007,4,3,spring,Tuesday,2007-04-03
322,2000,6,4,summer,Sunday,2000-06-04
323,2006,4,5,spring,Wednesday,2006-04-05
324,2000,11,14,autumn,Tuesday,2000-11-14
325,2006,9,29,autumn,Friday,2006-09-29
326,2011,1,18,winter,Tuesday,2011-01-18
327,2012,10,2,autumn,Tuesday,2012-10-02
328,2010,5,8,spring,Saturday,2010-05-08
329,2010,6,8,summer,Tuesday,2010-06-08
330,1999,4,18,spring,Sunday,1999-04-18
331,1999,4,18,spring,Sunday,1999-04-18
332,2012,8,21,summer,Tuesday,2012-08-21
333,2012,3,29,spring,Thursday,2012-03-29
334,2000,1,6,winter,Thursday,2000-01-06
335,2000,1,6,winter,Thursday,2000-01-06
336,2001,2,9,winter,Friday,2001-02-09
337,2006,7,25,summer,Tuesday,2006-07-25
338,2003,9,5,autumn,Friday,2003-09-05
339,2000,9,2,autumn,Saturday,2000-09-02
340,2007,8,15,summer,Wednesday,2007-08-15
341,2009,9,13,autumn,Sunday,2009-09-13
342,2008,2,26,winter,Tuesday,2008-02-26
343,2001,4,29,spring,Sunday,2001-04-29
344,2010,10,4,autumn,Monday,2010-10-04
345,1998,11,18,autumn,Wednesday,1998-11-18
